male,female,소재지도로명주소,소재지지번주소
True,True,경기도 수원시 영통구 도청로 10(이의동),경기도 수원시 영통구 이의동 1338
True,True,"경기도 수원시 영통구 봉영로 1579, 롯데마트 영통점 (영통동)",경기도 수원시 영통구 영통동 960-1 롯데마트 영통점
True,True,"경기도 수원시 영통구 센트럴타운로 85 (이의동, 광교C1 호반베르디움, Summit Place광교)","경기도 수원시 영통구 이의동 1332 광교C1 호반베르디움, Summit Place광교"
True,False,경기도 수원시 영통구 청명남로 13(영통동),경기도 수원시 영통동 999-1
True,True,경기도 수원시 영통구 광교로145,경기도 수원시 영통구 이의동 864-1
True,True,경기도 수원시 영통구 중부대로 437(원천동),경기도 수원시 영통구 원천동 177-1
False,True,경기도 수원시 영통구 봉영로 1576(영통동),경기도 수원시 영통구 영통동 994-2
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024(광교호수공원)
True,True,경기도 수원시 영통구 에듀타운로 91(이의동),경기도 수원시 영통구 이의동 1354
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1026-1공 (호수공원)
True,True,경기도 수원시 영통구 망포로100(망포2동),경기도 수원시 영통구  망포동 76-10(글빛누리공원)
True,False,"경기도 수원시 영통구 월드컵로 92 (원천동, 국토지리정보원)",경기도 수원시 영통구 원천동 111
True,False,"경기도 수원시 영통구 월드컵로 92 (원천동, 국토지리정보원)",경기도 수원시 영통구 원천동 111
True,True,경기도 수원시 영통구 태장로 46(망포동),경기도 수원시 영통구 망포동 234-44
True,True,경기도 수원시 영통구 대학로88(이의동),경기도 수원시 영통구 이의동1209
True,True,경기도 수원시 영통구 광교호수로 131(하동),경기도 수원시 영통구 하동 1024
True,False,경기도 수원시 영통구 에듀타운로 82(이의동),경기도 수원시 영통구 이의동 1347-6
True,True,"경기도 수원시 영통구 대학2로 41, 광교종합사회복지관 (이의동)",경기도 수원시 영통구 이의동 1259-4 광교종합사회복지관
True,True,"경기도 수원시 영통구 광교로 182, 수원광교박물관 (이의동)",경기도 수원시 영통구 이의동 403-2 수원광교박물관
True,True,경기도 수원시 영통구 센트럴타운로 22(이의동),경기도 수원시 영통구 이의동 1328-1
True,True,경기도 수원시 영통구 센트럴타운로 22(이의동),경기도 수원시 영통구 이의동 1328-1
True,True,경기도 수원시 영통구 센트럴타운로 22(이의동),경기도 수원시 영통구 이의동 1328-1
True,True,경기도 수원시 영통구 웰빙타운로 73(이의동),경기도 수원시 영통구 이의동 1183
True,True,경기도 수원시 영통구 창룡대로 246(광교1동),경기도 수원시 영통구 이의동 1288
True,True,경기도 수원시 영통구 창룡대로 246(광교1동),경기도 수원시 영통구 이의동 1288
True,True,경기도 수원시 영통구 광교중앙로 145(이의동),경기도 수원시 영통구 이의동 1336-1
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1023공 (호수공원)
True,True,경기도 수원시 영통구 광교호수로 80(원천동),경기도 수원시 영통구 원천동 593
True,True,경기도 수원시 영통구 센트럴타운로 85(이의동),경기도 수원시 영통구 이의동 1332
True,True,경기도 수원시 영통구 봉영로 1605(영통동),경기도 수원시 영통구 영통동 959-1
True,True,경기도 수원시 영통구 영통로90번길 4-16(망포동),경기도 수원시 영통구 망포동 484
True,True,경기도 수원시 영통구 봉영로 1623(영통동),경기도 수원시 영통구 영통동 958-1
False,True,경기도 수원시 영통구 봉영로 1569(영통동),경기도 수원시 영통구 영통동 960-3
True,True,경기도 수원시 영통구 센트럴파크로 33(하동),경기도 수원시 영통구 하동 1014
True,True,경기도 수원시 영통구 덕영대로1373번길 66 (신동),경기도 수원시 영통구 신동 942
True,True,경기도 수원시 영통구 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1008(광교호수공원)
True,True,경기도 수원시 영통구 광교중앙로 140(하동),경기도 수원시 영통구 하동 855-2
True,True,경기도 수원시 영통구 반달로39(영통동),경기도 수원시 영통구 영통동 1012-6
False,True,경기도 수원시 영통구 센트럴타운로 111(이의동),경기도 수원시 영통구 이의동 1330
True,False,경기도 수원시 영통구 영통로 195(망포동),경기도 수원시 영통구 망포동 322-3
True,True,경기도 영통구 센트럴타운로 103(이의동),경기도 수원시 영통구 이의동 1330-1
True,True,경기도 수원시 영통구 영통로 435,경기도 수원시 영통구 영통동 36-3
True,True,경기도 수원시 영통구 영통로 435,경기도 수원시 영통구 영통동 36-3
True,True,경기도 수원시 영통구 창룡대로 255(이의동),경기도 수원시 영통구 이의동 1088
True,True,"경기도 수원시 영통구 창룡대로 265, 수원박물관 (이의동)",경기도 수원시 영통구 이의동 1088-10 수원박물관
True,False,경기도 수원시 영통구 매봉로 52(매탄동),경기도 수원시 영통구 매탄동 1196
True,False,경기도 수원시 영통구 매탄로 185(매탄동),경기도 수원시 영통구 매탄동 811
True,True,경기도 수원시 영통구 매영로 93-18(매탄동),경기도 수원시 영통구 매탄동 1213-2
True,True,경기도 수원시 영통구 덕영대로1484번길 10-25(망포2동),경기도 수원시 영통구 망포동 737
True,False,경기도 수원시 영통구 매봉로 10(매탄2동),경기도 수원시 영통구 매탄2동 1213
True,True,경기도 수원시 영통구 권선로 841 지하(매탄동),경기도 수원시 매탄동 687-4
True,True,경기도 수원시 영통구 산남로 26-4(매탄동),경기도 수원시 영통구 매탄동 232-2
True,False,경기도 수원시 영통구 동탄원천로881번길 76(매탄동),경기도 수원시 영통구 매탄동 1279-1
True,True,경기도 수원시 영통구 매영로39번길 21(매탄동),경기도 수원시 영통구 매탄2동 198-99
True,True,경기도 수원시 영통구 인계로189번길 119(매탄동),경기도 수원시 영통구 매탄동 176-4
True,True,경기도 수원시 영통구 동탄원천로915번길 36(매탄동),경기도 수원시 영통구 매탄동 1277
True,True,경기도 수원시 영통구 효원로 415(매탄동),경기도 수원시 영통구 매탄동 1268
True,True,경기도 수원시 영통구 동탄지성로 549-15(망포동),경기도 수원시 영통구 망포동 76-10
True,True,경기도 수원시 영통구 태장로54번길 10(망포동),경기도 수원시 영통구 망포동 234-43
True,True,경기도 수원시 영통구 센트럴타운로 22(이의동),경기도 수원시 영통구 이의동 1328-1
True,True,경기도 수원시 영통구 법조로149번길 155(하동),경기도 수원시 영통구 하동 976
True,True,경기도 수원시 영통구 도청로89번길 20(이의동),경기도 수원시 영통구 이의동 1350
True,True,경기도 수원시 영통구 봉영로 지하 1670(영통동),경기도 수원시 영통구 영통동 1055
True,True,경기도 수원시 영통구 동탄지성로 520,경기도 수원시 영통구 망포동 755
True,True,경기도 수원시 영통구 광교호수공원로 102 (하동),경기도 수원시 영통구 하동 1023공 (호수공원관리사무소)
False,True,경기도 수원시 영통구 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 999공 (호수공원)
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024공 (호수공원)
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024공 (호수공원)
True,True,경기도 수원시 영통구 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 998공 (호수공원)
True,True,경기도 수원시 영통구 광교중앙로 124(하동),경기도 수원시 영통구 하동 871-1
True,True,경기도 수원시 영통구 삼성로 2(신동),경기도 수원시 영통구 신동 941
True,True,경기도 수원시 영통구 광교로 191(이의동),경기도 수원시 영통구 이의동 1240
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024(광교호수공원)
True,True,경기도 수원시 영통구 중부대로 339(원천동),경기도 수원시 영통구 원천동 610
True,True,경기도 수원시 영통구 영통로 498,경기도 수원시 영통구 영통동 955-4
True,True,경기도 수원시 영통구 센트럴타운로 106,경기도 수원시 영통구 이의동 1322-5
False,True,경기도 수원시 영통구 권광로 260번길 36(매탄동),경기도 수원시 영통구 매탄동 176
True,True,경기도 수원시 영통구 태장로 54번길 92(망포동),경기도 수원시 영통구 망포동 649-38
True,True,경기도 수원시 영통구 청명로92(영통동),경기도 수원시 영통구 영통동 1046-2
True,True,경기도 수원시 영통구 봉영로 1560 지하 1층 (영통동),경기도 수원시 영통구 영통동 1055
True,True,경기도 수원시 영통구 청명로 151(영통동),경기도 수원시 영통구 영통동 961-1
True,True,경기도 수원시 영통구 효원로 407(매탄동),경기도 수원시 영통구 매탄동 1268
True,True,경기도 수원시 영통구 영통로 396(영통동),경기도 수원시 영통구 영통동 961-18
True,True,경기도 수원시 영통구 반달로 105(영통동),경기도 수원시 영통구 영통동 1011-3
True,True,경기도 수원시 영통구 영통로217번길 12(영통동),경기도 수원시 영통구 영통동 977-3
True,True,경기도 수원시 영통구 봉영로1759번길 23(영통동),경기도 수원시 영통구 영통동 947-6
True,True,경기도 수원시 영통구 센트럴타운로 107(이의동),경기도 수원시 영통구 이의동 1331
